center1,center2,far_base,close_base,far_ecc,close_ecc
"[(342.5, 8.5)]","[(203.5, 7.5)]","[(342.5, 8.5)]","[(203.5, 7.5)]",342.6054582168825,203.6381594888345
"[(300.5, -10.5)]","[(503.5, -14.5)]","[(503.5, -14.5)]","[(300.5, -10.5)]",503.7087452089749,300.6833883007174
"[(353.5, 9.5)]","[(212.5, -8.5)]","[(353.5, 9.5)]","[(212.5, -8.5)]",353.6276290110828,212.66993205434565
"[(264.5, -10.5)]","[(454.5, 8.5)]","[(454.5, 8.5)]","[(264.5, -10.5)]",454.579475999522,264.7083300540427
"[(468.5, 5.5)]","[(274.5, -0.5)]","[(468.5, 5.5)]","[(274.5, -0.5)]",468.53228277248945,274.5004553730285
"[(496.5, -21.5)]","[(216.5, -0.5)]","[(496.5, -21.5)]","[(216.5, -0.5)]",496.96529053848417,216.50057736643566
"[(302.5, -12.5)]","[(503.5, 8.5)]","[(503.5, 8.5)]","[(302.5, -12.5)]",503.5717426544107,302.7581543080219
"[(420.5, -10.5)]","[(231.5, -9.5)]","[(420.5, -10.5)]","[(231.5, -9.5)]",420.63107350741456,231.69484241130618
"[(475.5, 4.5)]","[(218.5, -1.5)]","[(475.5, 4.5)]","[(218.5, -1.5)]",475.52129289864615,218.50514868075763
"[(464.5, -14.5)]","[(266.5, -0.5)]","[(464.5, -14.5)]","[(266.5, -0.5)]",464.72626351434025,266.5004690427392
"[(492.5, -15.5)]","[(220.5, -0.5)]","[(492.5, -15.5)]","[(220.5, -0.5)]",492.74384826195444,220.5005668926953
"[(492.5, 1.5)]","[(222.5, -7.5)]","[(492.5, 1.5)]","[(222.5, -7.5)]",492.5022842586621,222.62636860893187
"[(486.5, 4.5)]","[(276.5, 0.5)]","[(486.5, 4.5)]","[(276.5, 0.5)]",486.52081147675483,276.5004520791964
"[(438.5, -6.5)]","[(237.5, 4.5)]","[(438.5, -6.5)]","[(237.5, 4.5)]",438.5481729525275,237.5426277534203
"[(430.5, -8.5)]","[(237.5, 9.5)]","[(430.5, -8.5)]","[(237.5, 9.5)]",430.5839058766595,237.68992406073926
"[(205.5, 4.5)]","[(444.5, -13.5)]","[(444.5, -13.5)]","[(205.5, 4.5)]",444.7049583712779,205.5492641679848
